Employee ID,Age,Gender,Education Level,Department,Job Title,Years of Experience,Salary,Performance Rating,Work Mode
EMP-1076,30,Female,Bachelor's,Data Science,Senior Data Scientist,3.5,81317.8,3,Hybrid
EMP-1077,40,Male,Bachelor's,Finance,Financial Analyst,2.5,67590.4,3,Remote
EMP-1078,59,Female,Master's,Executive,Vice President,11.6,166569.14,3,Hybrid
EMP-1079,39,Male,Master's,Sales,Sales Manager,14.2,156754.6,2,Remote
EMP-1080,30,Female,Bachelor's,Sales,Sales Associate,7.5,92529.92,3,Remote
EMP-1081,46,Male,Master's,Finance,Finance Manager,16.2,161032.99,2,Hybrid
EMP-1082,33,Female,Bachelor's,HR,HR Specialist,5.3,82852.73,2,Hybrid
EMP-1083,42,Female,Master's,Sales,Sales Associate,17.7,146847.17,2,Hybrid
EMP-1084,59,Female,Bachelor's,Engineering,Engineering Manager,5.0,107883.78,4,Hybrid
EMP-1085,33,Male,Bachelor's,Data Science,Data Science Manager,3.6,109873.98,4,Hybrid
EMP-1086,42,Male,Master's,HR,HR Associate,8.5,95138.42,3,Hybrid
EMP-1087,37,Male,PhD,Data Science,Data Analyst,7.8,118613.67,1,Hybrid
EMP-1088,35,Female,PhD,Data Science,Data Analyst,5.0,125794.47,2,Remote
EMP-1089,23,Male,Bachelor's,Data Science,Data Science Manager,,96724.44,2,Hybrid
EMP-1090,52,Male,Bachelor's,Engineering,Senior Engineer,28.9,193358.98,2,Remote
EMP-1091,38,Male,Bachelor's,Sales,Sales Representative,15.1,121192.62,2,Remote
EMP-1092,39,Female,Master's,Data Science,Data Analyst,10.5,124518.81,2,Remote
EMP-1093,34,Female,Master's,Finance,Financial Analyst,3.5,91672.78,3,Hybrid
EMP-1094,53,Male,Bachelor's,Sales,Sales Representative,3.3,81658.2,2,On-site
EMP-1095,21,Female,Master's,Data Science,Data Science Manager,0.0,111529.9,3,Remote
EMP-1096,40,Female,Master's,Finance,Finance Manager,12.4,145831.27,2,Hybrid
EMP-1097,33,Female,Bachelor's,HR,HR Associate,9.1,93317.61,2,Remote
EMP-1098,41,Female,Bachelor's,Finance,Finance Manager,7.2,118637.6,2,Remote
EMP-1099,41,Female,Bachelor's,HR,HR Specialist,5.3,79037.77,3,Hybrid
EMP-1100,29,Female,Bachelor's,Finance,Financial Analyst,0.6,65003.76,2,Hybrid
EMP-1101,44,Female,Master's,Sales,Sales Representative,15.9,137483.96,3,Remote
EMP-1102,50,Male,Master's,Finance,Senior Finance Analyst,12.3,124942.58,2,Hybrid
EMP-1103,35,Male,Master's,HR,HR Specialist,7.7,103932.66,3,Remote
EMP-1104,46,Male,Bachelor's,Engineering,Senior Engineer,4.6,95152.87,3,Hybrid
EMP-1105,38,Male,Bachelor's,Finance,Finance Manager,4.5,103038.4,3,Remote
EMP-1106,41,Male,Bachelor's,Engineering,Senior Engineer,5.2,90421.98,3,On-site
EMP-1107,43,Female,Master's,Executive,Vice President,1.9,147534.32,2,Remote
EMP-1108,27,Male,Bachelor's,HR,HR Associate,4.8,77108.67,2,Remote
EMP-1109,45,Female,Bachelor's,Executive,Vice President,1.7,128910.07,3,Hybrid
EMP-1110,37,Male,Bachelor's,Finance,Senior Finance Analyst,1.3,63914.83,2,Remote
EMP-1111,31,Female,Bachelor's,Finance,Finance Manager,2.0,93517.66,3,Hybrid
EMP-1112,29,Male,Bachelor's,Finance,Senior Finance Analyst,2.1,69297.59,2,Hybrid
EMP-1113,32,Female,Master's,Data Science,Data Scientist,2.1,90282.12,2,Remote
EMP-1114,40,Male,Bachelor's,Data Science,Data Analyst,7.4,96253.77,2,Hybrid
EMP-1115,40,Male,High School,HR,HR Manager,6.2,84595.22,2,On-site
EMP-1116,30,Male,Bachelor's,HR,HR Manager,4.7,99605.45,3,On-site
EMP-1117,52,Male,Bachelor's,Data Science,Senior Data Scientist,24.8,174200.37,3,Remote
EMP-1118,37,Male,Bachelor's,Finance,Senior Finance Analyst,6.6,85608.92,2,Hybrid
EMP-1119,35,Male,Bachelor's,HR,HR Manager,7.0,102436.61,3,Hybrid
EMP-1120,43,Female,Master's,Finance,Senior Finance Analyst,0.5,77447.44,4,Remote
EMP-1121,42,Female,Master's,Engineering,Tech Lead,10.4,146272.68,3,Hybrid
EMP-1122,40,Male,Bachelor's,Sales,Sales Representative,3.3,72446.06,3,Hybrid
EMP-1123,30,Female,Bachelor's,Engineering,Engineering Manager,2.8,107747.99,3,Remote
EMP-1124,52,Female,Master's,Sales,Sales Representative,18.6,161039.09,3,Hybrid
EMP-1125,30,Female,High School,Engineering,Tech Lead,3.0,98700.05,3,Remote
EMP-1126,59,Female,Master's,Engineering,Engineering Manager,14.5,157861.67,2,Remote
EMP-1127,32,Male,Master's,Sales,Sales Associate,1.6,67565.47,1,Hybrid
EMP-1128,30,Female,Bachelor's,Sales,Sales Associate,0.2,60890.54,3,Hybrid
EMP-1129,56,Female,Master's,Engineering,Engineering Manager,3.0,114138.58,3,On-site
EMP-1130,29,Female,Bachelor's,Engineering,Senior Engineer,3.5,74778.6,3,Hybrid
EMP-1131,56,Female,Bachelor's,Sales,Sales Associate,15.5,123284.95,4,Remote
EMP-1132,21,Male,Bachelor's,Data Science,Data Analyst,0.0,73312.76,4,Remote
EMP-1133,50,Female,Bachelor's,Finance,Senior Finance Analyst,23.0,148003.75,1,Remote
EMP-1134,38,Male,Bachelor's,Sales,Sales Associate,7.1,85119.61,3,Hybrid
EMP-1135,44,Male,Master's,HR,HR Associate,19.6,143465.72,2,Remote
EMP-1136,39,Male,Master's,Sales,Sales Associate,4.8,94429.69,3,Hybrid
EMP-1137,26,Female,Bachelor's,Data Science,Data Science Manager,3.9,114046.06,1,Remote
EMP-1138,41,Non-binary,Bachelor's,Executive,Vice President,1.9,132286.91,2,On-site
EMP-1139,39,Male,Bachelor's,Data Science,Data Analyst,8.0,108005.11,4,On-site
EMP-1140,58,Male,Master's,HR,HR Manager,29.2,-214146.22,4,Hybrid
EMP-1141,47,Male,Master's,Finance,Financial Analyst,14.2,140851.79,3,Remote
EMP-1142,28,Female,Bachelor's,   Data Science  ,Data Analyst,2.6,88270.55,3,Remote
EMP-1143,21,Female,Master's,Sales,Sales Associate,0.0,54764.61,2,Hybrid
EMP-1144,35,Female,High School,Engineering,Tech Lead,6.1,119634.14,3,Hybrid
EMP-1145,38,Male,Bachelor's,Data Science,Data Scientist,2.8,77479.39,4,Hybrid
EMP-1146,21,Male,Master's,Sales,Sales Manager,0.0,97304.39,3,Remote
EMP-1147,37,Male,Bachelor's,HR,HR Manager,0.1,71885.28,1,On-site
EMP-1148,24,Female,Master's,Data Science,Data Analyst,0.0,85199.59,3,Hybrid
EMP-1149,28,Male,Bachelor's,Sales,Sales Manager,1.5,79944.72,2,On-site
EMP-1150,37,Male,Bachelor's,Sales,Sales Associate,3.6,67205.64,3,Hybrid
EMP-1151,43,Female,PhD,Sales,Sales Representative,0.1,77662.76,2,On-site
EMP-1152,36,Female,PhD,Finance,Finance Manager,4.5,125578.1,2,On-site
EMP-1153,26,Male,Master's,Finance,Senior Finance Analyst,0.4,77891.58,4,Remote
EMP-1154,31,Male,Master's,Data Science,Data Analyst,6.3,108786.03,3,Hybrid
EMP-1155,35,Male,Bachelor's,Finance,Senior Finance Analyst,9.5,105445.05,3,Remote
EMP-1156,32,Male,Master's,Data Science,Data Scientist,1.1,82969.69,2,Hybrid
EMP-1157,21,Non-binary,Bachelor's,HR,HR Associate,0.0,55201.25,1,Remote
EMP-1158,54,Female,Bachelor's,HR,HR Associate,15.0,119459.34,3,Remote
EMP-1159,41,Female,Bachelor's,Sales,Sales Manager,6.9,124697.45,5,Hybrid
EMP-1160,36,Male,Bachelor's,Sales,Sales Representative,9.4,84841.32,2,Hybrid
EMP-1161,40,Female,Master's,HR,HR Associate,10.8,98826.48,2,Hybrid
EMP-1162,31,Female,PhD,HR,HR Manager,0.9,115902.85,2,Remote
EMP-1163,46,Female,PhD,Sales,Sales Associate,2.7,105219.66,3,On-site
EMP-1164,38,Male,Bachelor's,Engineering,Senior Engineer,14.2,133778.74,2,Remote
EMP-1165,43,Male,Master's,Finance,Senior Finance Analyst,11.2,115897.97,2,Hybrid
EMP-1166,29,Female,Master's,Sales,Sales Manager,2.0,105957.07,2,On-site
EMP-1167,57,Male,Bachelor's,   Data Science  ,Senior Data Scientist,3.5,86077.82,2,Hybrid
EMP-1168,31,Female,PhD,HR,HR Associate,1.6,80165.64,2,Remote
EMP-1169,29,Male,Master's,Sales,Sales Associate,3.3,78874.3,3,Hybrid
EMP-1170,40,Female,High School,HR,HR Associate,21.8,135126.31,3,Hybrid
EMP-1171,28,Male,Master's,Finance,Financial Analyst,2.3,84192.35,2,On-site
EMP-1172,43,Male,Master's,Finance,Financial Analyst,5.3,92855.99,2,On-site
EMP-1173,45,Non-binary,Bachelor's,Engineering,Software Engineer,3.0,77860.16,1,Hybrid
EMP-1174,31,Female,Bachelor's,Engineering,Senior Engineer,2.4,73500.45,3,Remote
EMP-1175,21,Male,Bachelor's,Engineering,Engineering Manager,0.0,87288.51,1,Hybrid
EMP-1176,40,Male,Bachelor's,Sales,Sales Manager,4.0,100631.55,2,Hybrid
EMP-1177,21,Female,PhD,Finance,Senior Finance Analyst,0.0,80733.9,3,Hybrid
EMP-1178,31,Non-binary,High School,Sales,Sales Representative,5.5,67937.52,3,Remote
EMP-1179,34,Female,Bachelor's,Engineering,Tech Lead,7.3,123198.65,4,Remote
EMP-1180,46,Male,Bachelor's,HR,HR Specialist,23.9,153558.83,2,Hybrid
EMP-1181,52,Male,Bachelor's,Executive,Director,25.6,214738.63,1,Hybrid
EMP-1182,43,Female,Master's,Sales,Sales Associate,7.9,105406.88,3,On-site
EMP-1183,31,Male,Master's,HR,HR Specialist,2.2,73305.94,3,Remote
EMP-1184,49,Female,Master's,Engineering,Software Engineer,2.3,91685.62,3,Remote
EMP-1185,33,Female,Master's,Finance,Financial Analyst,5.3,89664.65,2,Hybrid
EMP-1186,41,Male,Bachelor's,Sales,Sales Manager,1.0,85938.65,2,Remote
EMP-1187,58,Male,Bachelor's,Data Science,Data Science Manager,8.1,128063.86,3,Remote
EMP-1188,50,Female,Bachelor's,Finance,Financial Analyst,22.6,140691.25,2,On-site
EMP-1189,27,Non-binary,Master's,Finance,Finance Manager,1.9,97870.92,1,Remote
EMP-1190,38,Female,Master's,HR,HR Associate,-2.0,80461.56,4,Hybrid
EMP-1191,35,Male,Bachelor's,Engineering,Senior Engineer,11.3,102193.19,3,Hybrid
EMP-1192,40,Male,Bachelor's,Engineering,Software Engineer,13.4,115408.48,3,Remote
EMP-1193,49,Male,Bachelor's,HR,HR Manager,16.1,143128.27,3,On-site
EMP-1194,44,Male,Master's,Executive,Director,5.4,159771.2,5,Hybrid
EMP-1195,40,Female,Bachelor's,HR,HR Associate,13.6,102020.93,2,Remote
EMP-1196,46,Male,Bachelor's,Sales,Sales Manager,16.0,147629.4,2,Remote
EMP-1197,33,Male,Bachelor's,Engineering,Senior Engineer,3.3,83861.97,3,Remote
EMP-1198,48,Male,Bachelor's,Engineering,Engineering Manager,19.4,169860.75,2,Remote
EMP-1199,28,Male,Master's,Finance,Finance Manager,3.3,111123.8,2,On-site
EMP-1200,45,Male,Master's,Executive,Director,9.7,172957.64,2,Remote
EMP-1201,51,Male,Bachelor's,Sales,Sales Representative,3.3,83120.77,3,Remote
EMP-1202,30,Male,Master's,Finance,Senior Finance Analyst,5.0,80327.68,2,On-site
EMP-1203,52,Male,Master's,Finance,Senior Finance Analyst,14.7,134406.49,3,Hybrid
EMP-1204,40,Male,Bachelor's,HR,HR Associate,-2.0,70554.51,2,Hybrid
EMP-1205,39,Female,Bachelor's,HR,HR Specialist,12.4,109434.6,3,On-site
EMP-1206,42,Female,Bachelor's,Executive,Director,3.5,127957.15,3,Remote
EMP-1207,42,Female,High School,Sales,Sales Representative,18.1,137092.52,4,Hybrid
EMP-1208,53,Male,PhD,Finance,Senior Finance Analyst,22.5,173562.37,2,Hybrid
EMP-1209,36,Male,High School,Sales,Sales Manager,5.5,104665.15,3,Remote
EMP-1210,21,Male,Bachelor's,HR,HR Specialist,0.0,55051.95,4,Hybrid
EMP-1211,33,Male,Master's,Engineering,Software Engineer,5.5,90170.86,2,Hybrid
EMP-1212,46,Male,Bachelor's,Engineering,Engineering Manager,21.8,176820.23,3,Hybrid
EMP-1213,25,Male,Bachelor's,Finance,Financial Analyst,2.9,80194.13,2,Hybrid
EMP-1214,35,Female,Master's,Engineering,Senior Engineer,0.4,74205.54,1,Hybrid
EMP-1215,35,Non-binary,Bachelor's,Finance,Financial Analyst,4.7,74414.23,1,On-site
EMP-1216,35,Male,Master's,Finance,Financial Analyst,8.7,120633.74,3,Hybrid
EMP-1217,49,Male,High School,HR,HR Specialist,22.4,129440.84,2,Hybrid
EMP-1218,63,Female,Master's,Finance,Finance Manager,5.5,121183.58,3,Remote
EMP-1219,37,Non-binary,Master's,Sales,Sales Associate,7.7,101473.84,3,On-site
EMP-1220,32,Male,Bachelor's,HR,HR Associate,,77943.48,2,On-site
EMP-1221,32,Female,Master's,Finance,Financial Analyst,5.2,92478.58,2,Hybrid
EMP-1222,35,Male,Bachelor's,Data Science,Data Scientist,4.4,76574.18,4,Hybrid
EMP-1223,48,Male,PhD,HR,HR Associate,10.7,115499.66,4,Hybrid
EMP-1224,34,Female,Bachelor's,HR,HR Manager,1.6,73274.93,2,Hybrid
EMP-1225,30,Male,Master's,Finance,Financial Analyst,4.3,98573.62,2,Remote
EMP-1226,47,Male,Master's,Finance,Senior Finance Analyst,17.3,152990.03,4,Hybrid
EMP-1227,26,Male,Bachelor's,Sales,Sales Associate,1.5,64236.25,2,On-site
EMP-1228,25,Non-binary,Bachelor's,HR,HR Specialist,1.5,57858.05,3,Hybrid
EMP-1229,34,Male,Bachelor's,Finance,Financial Analyst,10.5,107765.58,3,Remote
EMP-1230,34,Female,Bachelor's,Engineering,Software Engineer,3.4,78793.62,4,Hybrid
EMP-1231,44,Male,PhD,Executive,Vice President,1.6,149862.72,3,On-site
EMP-1232,41,Female,Master's,Sales,Sales Associate,6.7,100684.16,2,Hybrid
EMP-1233,36,Male,High School,Data Science,Data Analyst,5.7,90234.06,2,Remote
EMP-1234,30,Female,Bachelor's,Data Science,Data Scientist,0.3,59920.22,2,On-site
EMP-1235,44,Male,Master's,Sales,Sales Representative,12.3,129188.77,2,On-site
EMP-1236,21,Male,Bachelor's,Data Science,Data Science Manager,0.0,100266.1,4,Remote
EMP-1237,37,Male,Bachelor's,Engineering,Senior Engineer,6.3,93854.82,2,Hybrid
EMP-1238,37,Male,Bachelor's,Sales,Sales Manager,8.0,120285.37,4,Hybrid
EMP-1239,39,Female,Master's,HR,HR Specialist,0.0,61658.33,2,Hybrid
EMP-1240,41,Female,Bachelor's,Finance,Senior Finance Analyst,1.3,52370.89,1,Hybrid
EMP-1241,45,Female,PhD,Sales,Sales Representative,0.8,87256.1,3,Hybrid
EMP-1242,38,Male,Master's,HR,HR Associate,4.8,81921.44,3,Hybrid
EMP-1243,30,Female,Master's,HR,HR Associate,0.3,60389.76,3,Hybrid
EMP-1244,42,Female,Bachelor's,Sales,Sales Manager,9.6,123494.93,1,Remote
EMP-1245,42,Male,Master's,Engineering,Tech Lead,3.6,126016.15,3,Hybrid
EMP-1246,54,Female,Bachelor's,Sales,Sales Manager,15.1,138374.75,4,Remote
EMP-1247,25,Female,Bachelor's,Engineering,Tech Lead,0.8,93516.55,2,Hybrid
EMP-1248,43,Male,Bachelor's,Sales,Sales Representative,20.4,141800.6,2,Hybrid
EMP-1249,30,Female,PhD,Finance,Senior Finance Analyst,2.4,86640.03,2,Hybrid
EMP-1250,28,Male,Bachelor's,Data Science,Senior Data Scientist,1.9,70124.76,2,Remote
EMP-1251,48,Female,Bachelor's,Sales,Sales Associate,17.9,145974.29,2,Hybrid
EMP-1252,42,Male,Master's,Sales,Sales Representative,11.5,113149.85,3,Hybrid
EMP-1253,45,Male,Master's,Finance,Finance Manager,14.3,155792.06,2,On-site
EMP-1254,63,Male,Bachelor's,Engineering,Senior Engineer,2.8,86655.64,3,Hybrid
EMP-1255,30,Male,Bachelor's,Finance,Financial Analyst,4.8,91784.8,3,Hybrid
EMP-1256,31,Female,Bachelor's,Engineering,Senior Engineer,4.8,95406.51,4,Hybrid
EMP-1257,32,Female,Bachelor's,Engineering,Software Engineer,7.4,104915.33,3,Hybrid
EMP-1258,44,Male,Bachelor's,HR,HR Manager,9.8,108797.18,1,On-site
EMP-1259,35,Male,PhD,Sales,Sales Associate,1.0,92924.03,3,On-site
EMP-1260,39,Male,Master's,Sales,Sales Associate,12.2,120521.19,2,On-site
EMP-1261,44,Non-binary,Master's,Finance,Finance Manager,5.8,128844.68,3,Remote
EMP-1262,46,Male,Master's,Data Science,Senior Data Scientist,11.2,129619.01,3,Remote
EMP-1263,21,Male,Bachelor's,Sales,Sales Associate,0.0,59246.13,3,Hybrid
EMP-1264,40,Female,Bachelor's,Finance,Financial Analyst,11.0,97713.66,2,Remote
EMP-1265,48,Male,PhD,Finance,Senior Finance Analyst,16.2,160129.0,3,On-site
EMP-1266,38,Male,PhD,Engineering,Engineering Manager,5.1,147049.7,3,Hybrid
EMP-1267,32,Male,Master's,Finance,Finance Manager,4.7,114966.35,3,Hybrid
EMP-1268,33,Male,Bachelor's,Engineering,Software Engineer,5.7,90272.8,2,Remote
EMP-1269,33,Male,PhD,Data Science,Senior Data Scientist,5.7,119572.36,4,Hybrid
EMP-1270,36,Male,High School,Data Science,Senior Data Scientist,2.3,78341.87,2,Remote
EMP-1271,39,Female,Bachelor's,Data Science,Data Scientist,2.9,77266.64,4,Hybrid
EMP-1272,40,Female,Bachelor's,Finance,Financial Analyst,14.9,124073.7,3,Remote
EMP-1273,48,Male,Bachelor's,Data Science,Data Science Manager,16.1,169076.08,2,Remote
EMP-1274,60,Female,Bachelor's,HR,HR Specialist,9.3,86386.98,2,On-site
EMP-1275,52,Male,Bachelor's,Data Science,Data Science Manager,12.5,148362.84,4,Hybrid
EMP-1276,33,Male,Bachelor's,HR,HR Manager,10.9,112713.3,2,Remote
EMP-1277,28,Male,Master's,Finance,Finance Manager,0.4,92073.21,2,Remote
EMP-1278,37,Male,Bachelor's,Data Science,Data Analyst,0.8,83663.0,3,On-site
EMP-1279,28,Female,Bachelor's,Data Science,Senior Data Scientist,5.6,93236.07,3,Hybrid
EMP-1280,37,Male,Bachelor's,Finance,Senior Finance Analyst,7.5,85763.67,3,Remote
EMP-1281,41,Male,PhD,Data Science,Data Scientist,8.2,135394.71,3,Remote
EMP-1282,40,Male,Bachelor's,Sales,Sales Representative,9.7,100913.56,5,On-site
EMP-1283,32,Male,Master's,HR,HR Specialist,2.9,70847.14,2,Hybrid
EMP-1284,31,Female,Bachelor's,Finance,Senior Finance Analyst,0.7,75463.03,4,Hybrid
EMP-1285,32,Female,Bachelor's,Finance,Finance Manager,6.1,111448.49,2,Remote
EMP-1286,32,Male,Bachelor's,HR,HR Manager,9.4,118697.54,3,Hybrid
EMP-1287,22,Male,Bachelor's,Finance,Financial Analyst,0.0,74775.27,4,Remote
EMP-1288,31,Male,Bachelor's,Sales,Sales Manager,4.1,98935.19,2,Hybrid
EMP-1289,41,Female,Bachelor's,Data Science,Data Science Manager,18.8,187021.23,3,Hybrid
EMP-1290,36,Male,Bachelor's,Finance,Finance Manager,6.9,103704.08,2,Hybrid
EMP-1291,30,Male,High School,HR,HR Manager,1.3,86227.35,3,Hybrid
EMP-1292,32,Male,Master's,Engineering,Engineering Manager,2.1,113721.46,3,Hybrid
EMP-1293,49,Non-binary,Bachelor's,Engineering,Engineering Manager,4.6,115134.79,5,Hybrid
EMP-1294,33,Female,Master's,Data Science,Data Scientist,0.3,91351.35,4,On-site
EMP-1295,56,Male,High School,data science,Data Science Manager,26.2,195884.25,3,Hybrid
EMP-1296,43,Female,PhD,Engineering,Senior Engineer,8.3,137782.89,4,Hybrid
EMP-1297,43,Non-binary,Bachelor's,Data Science,Data Science Manager,19.2,186655.77,4,Remote
EMP-1298,51,Male,Master's,HR,HR Manager,13.1,144017.29,3,On-site
EMP-1299,39,Male,Bachelor's,HR,HR Specialist,12.0,101498.39,4,Hybrid
EMP-1300,41,Female,Bachelor's,HR,HR Specialist,2.3,59832.47,2,Hybrid
EMP-1301,50,Male,PhD,Data Science,Senior Data Scientist,1.0,102478.62,3,On-site
EMP-1302,24,Male,PhD,HR,HR Manager,0.0,108872.91,3,Hybrid
EMP-1303,59,Male,Bachelor's,HR,HR Associate,4.0,68114.9,2,Hybrid
EMP-1304,40,Male,High School,Finance,Financial Analyst,14.0,114228.23,4,Remote
EMP-1305,40,Male,Master's,Engineering,Senior Engineer,0.1,81539.65,3,Hybrid
EMP-1306,33,Female,Bachelor's,Sales,Sales Representative,7.2,94681.79,3,Hybrid
