Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month Num,Order Month,Order Quarter,Profit Margin
CA-2025-100010,2025-01-16,2025-01-21,Same Day,CO-26483,Customer 26483,Corporate,Columbus,Ohio,43215,East,TEC-AC-10000010,Technology,Accessories,SanDisk 128GB Flash Drive,1258.11,3,0.5,-89.74,2025,1,January,Q1,-0.0713
CA-2025-100011,2025-12-25,2025-12-29,Standard Class,CO-98039,Customer 98039,Consumer,Minneapolis,Minnesota,55401,Central,TEC-MA-10000011,Technology,Machines,Star Micronics Receipt Printer,447.07,1,0.0,121.41,2025,12,December,Q4,0.2716
CA-2025-100012,2025-11-19,2025-11-21,Standard Class,CO-40007,Customer 40007,Corporate,Los Angeles,California,90036,West,TEC-PH-10000012,Technology,Phones,Samsung Galaxy S24 Ultra,979.74,2,0.0,332.47,2025,11,November,Q4,0.3393
CA-2025-100013,2025-04-19,2025-04-22,Standard Class,CO-63354,Customer 63354,Consumer,New York City,New York,10011,East,FUR-FU-10000013,Furniture,Furnishings,Luxo Task Lamp,452.75,2,0.2,144.58,2025,4,April,Q2,0.3193
CA-2025-100014,2025-04-21,2025-04-22,Standard Class,CO-24322,Customer 24322,Consumer,Boston,Massachusetts,02108,East,FUR-FU-10000014,Furniture,Furnishings,DAX Black Wood Picture Frame,282.03,1,0.0,118.26,2025,4,April,Q2,0.4193
CA-2025-100015,2025-04-15,2025-04-20,First Class,CO-95477,Customer 95477,Consumer,Los Angeles,California,90036,West,TEC-AC-10000015,Technology,Accessories,Anker USB-C Hub 8-in-1,936.57,2,0.3,-74.24,2025,4,April,Q2,-0.0793
CA-2025-100016,2025-05-06,2025-05-09,Same Day,CO-69638,Customer 69638,Consumer,Minneapolis,Minnesota,55401,Central,OFF-AP-10000016,Office Supplies,Appliances,Avanti Compact Refrigerator,160.2,2,0.0,21.96,2025,5,May,Q2,0.1371
CA-2025-100017,2025-08-02,2025-08-05,Standard Class,CO-17492,Customer 17492,Corporate,Phoenix,Arizona,85001,West,OFF-BI-10000017,Office Supplies,Binders,Wilson Jones Ring Binder,12.19,2,0.3,-4.02,2025,8,August,Q3,-0.3298
CA-2025-100018,2025-07-03,2025-07-07,Standard Class,CO-84668,Customer 84668,Consumer,New York City,New York,10011,East,OFF-PA-10000018,Office Supplies,Paper,Southworth Fine Parchment Paper,99.22,2,0.3,-28.65,2025,7,July,Q3,-0.2888
CA-2025-100019,2025-05-23,2025-05-26,Standard Class,CO-94607,Customer 94607,Consumer,Minneapolis,Minnesota,55401,Central,OFF-ST-10000019,Office Supplies,Storage,Tenex File Box,280.4,10,0.5,-91.98,2025,5,May,Q2,-0.328
CA-2025-100020,2025-09-07,2025-09-10,Standard Class,CO-19016,Customer 19016,Consumer,Philadelphia,Pennsylvania,19104,East,FUR-FU-10000020,Furniture,Furnishings,Luxo Task Lamp,3130.0,9,0.1,166.29,2025,9,September,Q3,0.0531
CA-2025-100021,2025-03-27,2025-03-30,First Class,CO-27601,Customer 27601,Consumer,Houston,Texas,77002,Central,TEC-AC-10000021,Technology,Accessories,SanDisk 128GB Flash Drive,494.46,1,0.0,160.7,2025,3,March,Q1,0.325
CA-2025-100022,2025-05-28,2025-05-30,Standard Class,HO-16658,Customer 16658,Home Office,Phoenix,Arizona,85001,West,TEC-PH-10000022,Technology,Phones,iPhone 15 Pro Max,283.49,1,0.5,-85.48,2025,5,May,Q2,-0.3015
CA-2025-100023,2025-06-15,2025-06-18,Standard Class,CO-19862,Customer 19862,Consumer,New York City,New York,10011,East,TEC-AC-10000023,Technology,Accessories,Keychron K2 Mechanical Keyboard,389.79,2,0.3,-43.33,2025,6,June,Q2,-0.1112
CA-2025-100024,2025-07-28,2025-07-29,Standard Class,CO-97416,Customer 97416,Corporate,Portland,Oregon,97201,West,OFF-PA-10000024,Office Supplies,Paper,Southworth Fine Parchment Paper,542.64,6,0.0,62.4,2025,7,July,Q3,0.115
CA-2025-100025,2025-11-26,2025-12-01,First Class,CO-53540,Customer 53540,Consumer,Atlanta,Georgia,30303,South,FUR-CH-10000025,Furniture,Chairs,Global Stack Chair,2648.45,5,0.0,997.5,2025,11,November,Q4,0.3766
CA-2025-100026,2025-04-15,2025-04-18,First Class,HO-39219,Customer 39219,Home Office,Seattle,Washington,98103,West,OFF-LA-10000026,Office Supplies,Labels,Avery Mailing Labels,104.48,1,0.1,21.93,2025,4,April,Q2,0.2099
CA-2025-100027,2025-08-27,2025-08-30,First Class,CO-44237,Customer 44237,Consumer,Philadelphia,Pennsylvania,19104,East,FUR-FU-10000027,Furniture,Furnishings,Luxo Task Lamp,811.26,2,0.1,206.52,2025,8,August,Q3,0.2546
CA-2025-100028,2025-09-13,2025-09-18,Standard Class,CO-67154,Customer 67154,Consumer,Seattle,Washington,98103,West,OFF-ST-10000028,Office Supplies,Storage,Stur-D-Stor Shelving,226.59,3,0.0,92.91,2025,9,September,Q3,0.41
CA-2025-100029,2025-01-17,2025-01-20,Standard Class,CO-48752,Customer 48752,Consumer,Boston,Massachusetts,02108,East,OFF-PA-10000029,Office Supplies,Paper,Southworth Fine Parchment Paper,90.28,1,0.0,19.18,2025,1,January,Q1,0.2125
CA-2025-100030,2025-09-27,2025-09-28,Standard Class,CO-86019,Customer 86019,Consumer,Minneapolis,Minnesota,55401,Central,OFF-AP-10000030,Office Supplies,Appliances,Hoover WindTunnel Vacuum,124.64,4,0.5,-16.1,2025,9,September,Q3,-0.1292
CA-2025-100031,2025-03-22,2025-03-23,Standard Class,CO-53933,Customer 53933,Corporate,Seattle,Washington,98103,West,OFF-AR-10000031,Office Supplies,Art,Crayola Markers 8ct,9.7,1,0.5,-1.62,2025,3,March,Q1,-0.167
CA-2025-100032,2025-02-25,2025-02-26,Standard Class,CO-35485,Customer 35485,Corporate,Nashville,Tennessee,37203,South,OFF-AR-10000032,Office Supplies,Art,Dixon Ticonderoga Pencils,375.65,5,0.3,-43.75,2025,2,February,Q1,-0.1165
CA-2025-100033,2025-12-08,2025-12-10,Same Day,CO-16582,Customer 16582,Corporate,New York City,New York,10011,East,OFF-PA-10000033,Office Supplies,Paper,Southworth Fine Parchment Paper,194.01,3,0.0,68.31,2025,12,December,Q4,0.3521
CA-2025-100034,2025-12-15,2025-12-19,Second Class,CO-81810,Customer 81810,Corporate,Atlanta,Georgia,30303,South,OFF-PA-10000034,Office Supplies,Paper,Hammermill Color Copy Paper,29.32,1,0.1,10.45,2025,12,December,Q4,0.3564
CA-2025-100035,2025-11-17,2025-11-20,Standard Class,CO-47450,Customer 47450,Consumer,Philadelphia,Pennsylvania,19104,East,OFF-BI-10000035,Office Supplies,Binders,Wilson Jones Ring Binder,16.5,1,0.1,5.49,2025,11,November,Q4,0.3327
CA-2025-100036,2025-05-03,2025-05-06,Standard Class,CO-18161,Customer 18161,Consumer,Columbus,Ohio,43215,East,OFF-BI-10000036,Office Supplies,Binders,Avery Durable View Binder,21.5,5,0.0,5.18,2025,5,May,Q2,0.2409
CA-2025-100037,2025-02-12,2025-02-14,Standard Class,HO-64921,Customer 64921,Home Office,Columbus,Ohio,43215,East,FUR-FU-10000037,Furniture,Furnishings,Floor Mat,118.73,2,0.1,25.14,2025,2,February,Q1,0.2117
CA-2025-100038,2025-10-06,2025-10-11,First Class,HO-80008,Customer 80008,Home Office,Phoenix,Arizona,85001,West,OFF-AP-10000038,Office Supplies,Appliances,Hoover WindTunnel Vacuum,16.67,2,0.3,-4.93,2025,10,October,Q4,-0.2957
CA-2025-100039,2025-07-09,2025-07-12,Standard Class,CO-59692,Customer 59692,Consumer,Minneapolis,Minnesota,55401,Central,FUR-CH-10000039,Furniture,Chairs,Global Stack Chair,60.66,2,0.5,-14.86,2025,7,July,Q3,-0.245
CA-2025-100040,2025-03-21,2025-03-22,Same Day,CO-14067,Customer 14067,Consumer,Boston,Massachusetts,02108,East,TEC-AC-10000040,Technology,Accessories,Anker USB-C Hub 8-in-1,830.13,3,0.0,113.88,2025,3,March,Q1,0.1372
CA-2025-100041,2025-08-23,2025-08-25,Standard Class,CO-25012,Customer 25012,Corporate,Philadelphia,Pennsylvania,19104,East,FUR-CH-10000041,Furniture,Chairs,Novimex Swivel Chair,1833.45,5,0.0,782.13,2025,8,August,Q3,0.4266
CA-2025-100042,2025-01-07,2025-01-08,Second Class,CO-23356,Customer 23356,Corporate,Houston,Texas,77002,Central,OFF-BI-10000042,Office Supplies,Binders,Wilson Jones Ring Binder,85.94,2,0.0,21.69,2025,1,January,Q1,0.2524
CA-2025-100043,2025-12-11,2025-12-12,Standard Class,CO-66822,Customer 66822,Consumer,Minneapolis,Minnesota,55401,Central,OFF-PA-10000043,Office Supplies,Paper,Xerox 228 Premium Copy Paper,620.13,7,0.0,231.48,2025,12,December,Q4,0.3733
CA-2025-100044,2025-05-18,2025-05-22,Standard Class,HO-87656,Customer 87656,Home Office,Detroit,Michigan,48201,Central,TEC-PH-10000044,Technology,Phones,Google Pixel 8 Pro,1334.28,1,0.0,392.46,2025,5,May,Q2,0.2941
CA-2025-100045,2025-10-13,2025-10-16,Standard Class,CO-73904,Customer 73904,Consumer,Philadelphia,Pennsylvania,19104,East,OFF-LA-10000045,Office Supplies,Labels,Dymo Address Labels,317.64,3,0.0,17.17,2025,10,October,Q4,0.0541
CA-2025-100046,2025-06-07,2025-06-08,Second Class,CO-41499,Customer 41499,Consumer,Nashville,Tennessee,37203,South,OFF-ST-10000046,Office Supplies,Storage,Tenex File Box,73.44,2,0.0,23.18,2025,6,June,Q2,0.3156
CA-2025-100047,2025-08-12,2025-08-15,Standard Class,CO-82140,Customer 82140,Consumer,Detroit,Michigan,48201,Central,OFF-LA-10000047,Office Supplies,Labels,Dymo Address Labels,31.67,1,0.0,3.1,2025,8,August,Q3,0.0979
CA-2025-100048,2025-09-18,2025-09-25,Second Class,CO-73464,Customer 73464,Consumer,Detroit,Michigan,48201,Central,TEC-AC-10000048,Technology,Accessories,SanDisk 128GB Flash Drive,418.48,1,0.0,110.33,2025,9,September,Q3,0.2636
CA-2025-100049,2025-04-09,2025-04-10,Standard Class,CO-26551,Customer 26551,Consumer,Miami,Florida,33101,South,TEC-CO-10000049,Technology,Copiers,Hewlett Packard LaserJet Copier,770.2,2,0.5,-211.23,2025,4,April,Q2,-0.2743
CA-2025-100050,2025-12-28,2025-12-31,First Class,CO-19710,Customer 19710,Consumer,Seattle,Washington,98103,West,FUR-TA-10000050,Furniture,Tables,Beverage Air Work Table,477.32,1,0.2,139.63,2025,12,December,Q4,0.2925
CA-2025-100051,2025-11-26,2025-11-30,Second Class,CO-68028,Customer 68028,Consumer,Minneapolis,Minnesota,55401,Central,OFF-BI-10000051,Office Supplies,Binders,Wilson Jones Ring Binder,155.27,3,0.3,-44.67,2025,11,November,Q4,-0.2877
CA-2025-100052,2025-12-07,2025-12-09,Standard Class,CO-82350,Customer 82350,Consumer,Seattle,Washington,98103,West,FUR-FU-10000052,Furniture,Furnishings,Floor Mat,168.15,1,0.2,55.69,2025,12,December,Q4,0.3312
CA-2025-100053,2025-12-15,2025-12-16,Standard Class,CO-91927,Customer 91927,Consumer,Columbus,Ohio,43215,East,FUR-BO-10000053,Furniture,Bookcases,O'Sullivan 2-Door Bookcase,131.94,1,0.0,9.74,2025,12,December,Q4,0.0738
CA-2025-100054,2025-09-26,2025-09-29,Second Class,CO-47828,Customer 47828,Corporate,Miami,Florida,33101,South,OFF-LA-10000054,Office Supplies,Labels,Brother Label Tape,49.5,1,0.0,11.14,2025,9,September,Q3,0.2251
CA-2025-100055,2025-12-20,2025-12-21,Standard Class,CO-42816,Customer 42816,Consumer,Los Angeles,California,90036,West,FUR-CH-10000055,Furniture,Chairs,Novimex Swivel Chair,1467.76,4,0.0,378.07,2025,12,December,Q4,0.2576
CA-2025-100056,2025-02-15,2025-02-21,Standard Class,CO-93202,Customer 93202,Corporate,Miami,Florida,33101,South,OFF-PA-10000056,Office Supplies,Paper,Hammermill Color Copy Paper,39.88,1,0.0,8.56,2025,2,February,Q1,0.2146
CA-2025-100057,2025-04-16,2025-04-18,First Class,HO-82102,Customer 82102,Home Office,Phoenix,Arizona,85001,West,FUR-TA-10000057,Furniture,Tables,Bienna Executive Dining Table,318.53,4,0.3,-32.66,2025,4,April,Q2,-0.1025
CA-2025-100058,2025-01-01,2025-01-05,Standard Class,CO-34586,Customer 34586,Consumer,Minneapolis,Minnesota,55401,Central,OFF-ST-10000058,Office Supplies,Storage,Fellowes Bankers Box,33.51,1,0.0,13.48,2025,1,January,Q1,0.4023
CA-2025-100059,2025-06-16,2025-06-18,Same Day,CO-41365,Customer 41365,Corporate,Philadelphia,Pennsylvania,19104,East,OFF-BI-10000059,Office Supplies,Binders,GBC ComboBind Spines,91.0,10,0.3,-19.25,2025,6,June,Q2,-0.2115
CA-2025-100060,2025-07-04,2025-07-08,Standard Class,HO-48254,Customer 48254,Home Office,Minneapolis,Minnesota,55401,Central,TEC-MA-10000060,Technology,Machines,Star Micronics Receipt Printer,739.5,1,0.0,214.27,2025,7,July,Q3,0.2897
CA-2025-100061,2025-05-24,2025-05-29,First Class,CO-64387,Customer 64387,Consumer,Detroit,Michigan,48201,Central,TEC-CO-10000061,Technology,Copiers,Brother Multifunction Copier,776.97,3,0.5,-157.81,2025,5,May,Q2,-0.2031
CA-2025-100062,2025-11-05,2025-11-08,Standard Class,CO-81228,Customer 81228,Consumer,Nashville,Tennessee,37203,South,TEC-AC-10000062,Technology,Accessories,Anker USB-C Hub 8-in-1,720.42,1,0.2,48.6,2025,11,November,Q4,0.0675
CA-2025-100063,2025-06-24,2025-06-27,First Class,CO-96991,Customer 96991,Consumer,Columbus,Ohio,43215,East,TEC-AC-10000063,Technology,Accessories,SanDisk 128GB Flash Drive,6587.9,5,0.0,1715.36,2025,6,June,Q2,0.2604
CA-2025-100064,2025-05-15,2025-05-16,Standard Class,HO-30232,Customer 30232,Home Office,Phoenix,Arizona,85001,West,OFF-LA-10000064,Office Supplies,Labels,Dymo Address Labels,151.08,2,0.0,27.41,2025,5,May,Q2,0.1814
CA-2025-100065,2025-09-22,2025-09-27,Standard Class,CO-73956,Customer 73956,Consumer,Los Angeles,California,90036,West,FUR-TA-10000065,Furniture,Tables,Beverage Air Work Table,921.44,2,0.0,279.66,2025,9,September,Q3,0.3035
CA-2025-100066,2025-03-28,2025-03-30,Standard Class,CO-13794,Customer 13794,Consumer,Portland,Oregon,97201,West,OFF-LA-10000066,Office Supplies,Labels,Dymo Address Labels,46.23,1,0.0,12.78,2025,3,March,Q1,0.2764
CA-2025-100067,2025-11-26,2025-11-28,Standard Class,CO-60140,Customer 60140,Corporate,Columbus,Ohio,43215,East,TEC-AC-10000067,Technology,Accessories,Anker USB-C Hub 8-in-1,745.61,1,0.0,40.08,2025,11,November,Q4,0.0538
CA-2025-100068,2025-02-26,2025-03-01,Standard Class,CO-19681,Customer 19681,Corporate,Charlotte,North Carolina,28202,South,TEC-CO-10000068,Technology,Copiers,Brother Multifunction Copier,4340.52,3,0.0,741.57,2025,2,February,Q1,0.1708
CA-2025-100069,2025-12-13,2025-12-18,Standard Class,CO-57049,Customer 57049,Consumer,Detroit,Michigan,48201,Central,FUR-FU-10000069,Furniture,Furnishings,Luxo Task Lamp,217.8,5,0.2,95.71,2025,12,December,Q4,0.4394
CA-2025-100070,2025-11-20,2025-11-24,First Class,HO-40162,Customer 40162,Home Office,Chicago,Illinois,60611,Central,OFF-BI-10000070,Office Supplies,Binders,GBC ComboBind Spines,221.35,3,0.1,85.29,2025,11,November,Q4,0.3853
CA-2025-100071,2025-04-21,2025-04-22,Second Class,CO-67779,Customer 67779,Consumer,Portland,Oregon,97201,West,OFF-ST-10000071,Office Supplies,Storage,Stur-D-Stor Shelving,81.1,2,0.0,29.57,2025,4,April,Q2,0.3646
CA-2025-100072,2025-01-12,2025-01-15,First Class,HO-43681,Customer 43681,Home Office,Charlotte,North Carolina,28202,South,OFF-LA-10000072,Office Supplies,Labels,Avery Mailing Labels,45.81,1,0.2,6.42,2025,1,January,Q1,0.1401
CA-2025-100073,2025-11-22,2025-11-26,Same Day,HO-83048,Customer 83048,Home Office,Houston,Texas,77002,Central,OFF-ST-10000073,Office Supplies,Storage,Stur-D-Stor Shelving,117.58,2,0.1,37.5,2025,11,November,Q4,0.3189
CA-2025-100074,2025-10-19,2025-10-22,Second Class,CO-98452,Customer 98452,Consumer,Columbus,Ohio,43215,East,FUR-TA-10000074,Furniture,Tables,Balt Training Table,137.4,1,0.2,56.85,2025,10,October,Q4,0.4138
CA-2025-100075,2025-10-10,2025-10-14,Standard Class,CO-14877,Customer 14877,Consumer,Minneapolis,Minnesota,55401,Central,FUR-BO-10000075,Furniture,Bookcases,O'Sullivan 2-Door Bookcase,224.32,2,0.1,77.9,2025,10,October,Q4,0.3473
CA-2025-100076,2025-11-18,2025-11-21,Second Class,CO-64379,Customer 64379,Consumer,Phoenix,Arizona,85001,West,OFF-LA-10000076,Office Supplies,Labels,Avery Mailing Labels,83.45,1,0.0,12.05,2025,11,November,Q4,0.1444
CA-2025-100077,2025-02-12,2025-02-13,Second Class,CO-94518,Customer 94518,Corporate,Houston,Texas,77002,Central,OFF-AR-10000077,Office Supplies,Art,Dixon Ticonderoga Pencils,455.92,4,0.0,61.48,2025,2,February,Q1,0.1348
CA-2025-100078,2025-06-21,2025-06-24,Standard Class,CO-41925,Customer 41925,Corporate,Boston,Massachusetts,02108,East,FUR-BO-10000078,Furniture,Bookcases,O'Sullivan 2-Door Bookcase,843.85,5,0.0,92.0,2025,6,June,Q2,0.109
CA-2025-100079,2025-03-20,2025-03-21,First Class,CO-27038,Customer 27038,Consumer,Chicago,Illinois,60611,Central,FUR-CH-10000079,Furniture,Chairs,Harbour Executive Leather Armchair,232.68,4,0.0,41.77,2025,3,March,Q1,0.1795
CA-2025-100080,2025-12-06,2025-12-08,Standard Class,CO-24896,Customer 24896,Consumer,Phoenix,Arizona,85001,West,OFF-LA-10000080,Office Supplies,Labels,Brother Label Tape,144.1,2,0.0,42.66,2025,12,December,Q4,0.296
CA-2025-100081,2025-09-24,2025-09-28,First Class,CO-70036,Customer 70036,Corporate,Los Angeles,California,90036,West,TEC-MA-10000081,Technology,Machines,Dymo LabelWriter 450 Turbo,1484.76,2,0.3,-486.93,2025,9,September,Q3,-0.328
CA-2025-100082,2025-06-03,2025-06-06,Standard Class,CO-91830,Customer 91830,Consumer,Minneapolis,Minnesota,55401,Central,TEC-CO-10000082,Technology,Copiers,Hewlett Packard LaserJet Copier,1292.43,2,0.2,123.77,2025,6,June,Q2,0.0958
CA-2025-100083,2025-02-21,2025-02-25,Second Class,CO-38183,Customer 38183,Corporate,Nashville,Tennessee,37203,South,TEC-MA-10000083,Technology,Machines,Dymo LabelWriter 450 Turbo,2013.42,2,0.2,352.39,2025,2,February,Q1,0.175
CA-2025-100084,2025-06-11,2025-06-15,Standard Class,CO-72163,Customer 72163,Consumer,Los Angeles,California,90036,West,TEC-PH-10000084,Technology,Phones,Motorola Edge 50,564.46,3,0.2,153.84,2025,6,June,Q2,0.2725
CA-2025-100085,2025-06-19,2025-06-26,Standard Class,CO-63845,Customer 63845,Corporate,Minneapolis,Minnesota,55401,Central,TEC-PH-10000085,Technology,Phones,Google Pixel 8 Pro,1881.14,2,0.0,254.13,2025,6,June,Q2,0.1351
CA-2025-100086,2025-10-22,2025-10-25,First Class,CO-82910,Customer 82910,Consumer,Houston,Texas,77002,Central,OFF-BI-10000086,Office Supplies,Binders,Wilson Jones Ring Binder,194.5,4,0.5,-20.32,2025,10,October,Q4,-0.1045
CA-2025-100087,2025-10-20,2025-10-24,Standard Class,CO-96223,Customer 96223,Corporate,Houston,Texas,77002,Central,FUR-TA-10000087,Furniture,Tables,Bienna Executive Dining Table,243.06,1,0.0,76.06,2025,10,October,Q4,0.3129
CA-2025-100088,2025-12-03,2025-12-05,Second Class,CO-79531,Customer 79531,Consumer,Columbus,Ohio,43215,East,OFF-LA-10000088,Office Supplies,Labels,Avery Mailing Labels,109.61,3,0.2,30.37,2025,12,December,Q4,0.2771
CA-2025-100089,2025-08-03,2025-08-08,Standard Class,CO-16522,Customer 16522,Corporate,Portland,Oregon,97201,West,OFF-PA-10000089,Office Supplies,Paper,Hammermill Color Copy Paper,147.26,2,0.0,37.54,2025,8,August,Q3,0.2549
CA-2025-100090,2025-03-12,2025-03-15,Standard Class,CO-73783,Customer 73783,Corporate,Houston,Texas,77002,Central,FUR-CH-10000090,Furniture,Chairs,HON 5400 Series Task Chair,779.66,6,0.2,277.3,2025,3,March,Q1,0.3557
CA-2025-100091,2025-10-10,2025-10-13,Standard Class,CO-33028,Customer 33028,Corporate,Columbus,Ohio,43215,East,OFF-AR-10000091,Office Supplies,Art,Fiskars Scissors,52.5,5,0.0,3.02,2025,10,October,Q4,0.0575
CA-2025-100092,2025-11-03,2025-11-08,Standard Class,CO-93904,Customer 93904,Corporate,Charlotte,North Carolina,28202,South,FUR-CH-10000092,Furniture,Chairs,Novimex Swivel Chair,867.18,6,0.0,282.57,2025,11,November,Q4,0.3258
CA-2025-100093,2025-09-12,2025-09-13,First Class,CO-87184,Customer 87184,Consumer,Miami,Florida,33101,South,OFF-LA-10000093,Office Supplies,Labels,Brother Label Tape,84.12,2,0.0,21.38,2025,9,September,Q3,0.2542
CA-2025-100094,2025-11-04,2025-11-07,Standard Class,CO-56019,Customer 56019,Corporate,Boston,Massachusetts,02108,East,FUR-TA-10000094,Furniture,Tables,Beverage Air Work Table,116.34,1,0.2,9.32,2025,11,November,Q4,0.0801
CA-2025-100095,2025-08-25,2025-08-29,Standard Class,CO-85952,Customer 85952,Corporate,Charlotte,North Carolina,28202,South,TEC-CO-10000095,Technology,Copiers,Canon ImageClass Laser Copier,1288.21,2,0.1,474.75,2025,8,August,Q3,0.3685
CA-2025-100096,2025-08-19,2025-08-20,Standard Class,CO-69233,Customer 69233,Consumer,Los Angeles,California,90036,West,OFF-LA-10000096,Office Supplies,Labels,Avery Mailing Labels,624.56,8,0.0,179.64,2025,8,August,Q3,0.2876
CA-2025-100097,2025-07-13,2025-07-16,Standard Class,CO-15376,Customer 15376,Corporate,Atlanta,Georgia,30303,South,OFF-PA-10000097,Office Supplies,Paper,Southworth Fine Parchment Paper,19.8,1,0.0,8.11,2025,7,July,Q3,0.4096
CA-2025-100098,2025-01-11,2025-01-18,Standard Class,CO-15130,Customer 15130,Corporate,Columbus,Ohio,43215,East,TEC-AC-10000098,Technology,Accessories,SanDisk 128GB Flash Drive,621.99,1,0.0,115.28,2025,1,January,Q1,0.1853
CA-2025-100099,2025-02-20,2025-02-21,Second Class,CO-53213,Customer 53213,Consumer,Phoenix,Arizona,85001,West,FUR-BO-10000099,Furniture,Bookcases,Bush Somerset 3-Shelf Bookcase,199.14,3,0.3,-51.17,2025,2,February,Q1,-0.257
CA-2025-100100,2025-01-21,2025-01-25,Standard Class,CO-21104,Customer 21104,Corporate,Minneapolis,Minnesota,55401,Central,OFF-LA-10000100,Office Supplies,Labels,Avery Mailing Labels,259.42,4,0.2,84.1,2025,1,January,Q1,0.3242
CA-2025-100101,2025-10-17,2025-10-18,Second Class,CO-12389,Customer 12389,Corporate,Detroit,Michigan,48201,Central,FUR-BO-10000101,Furniture,Bookcases,Bush Somerset 3-Shelf Bookcase,1142.44,2,0.0,119.99,2025,10,October,Q4,0.105
CA-2025-100102,2025-06-03,2025-06-05,Second Class,CO-80748,Customer 80748,Corporate,Portland,Oregon,97201,West,TEC-AC-10000102,Technology,Accessories,Keychron K2 Mechanical Keyboard,284.36,1,0.1,85.28,2025,6,June,Q2,0.2999
CA-2025-100103,2025-08-06,2025-08-10,Standard Class,CO-41133,Customer 41133,Consumer,Charlotte,North Carolina,28202,South,OFF-PA-10000103,Office Supplies,Paper,Xerox 228 Premium Copy Paper,104.02,2,0.2,24.72,2025,8,August,Q3,0.2376
CA-2025-100104,2025-12-27,2025-12-29,Second Class,CO-67749,Customer 67749,Corporate,Charlotte,North Carolina,28202,South,OFF-BI-10000104,Office Supplies,Binders,Avery Durable View Binder,51.4,1,0.0,15.0,2025,12,December,Q4,0.2918
CA-2025-100105,2025-05-28,2025-05-30,Second Class,HO-82684,Customer 82684,Home Office,Los Angeles,California,90036,West,FUR-BO-10000105,Furniture,Bookcases,Bush Somerset 3-Shelf Bookcase,475.41,2,0.2,41.21,2025,5,May,Q2,0.0867
CA-2025-100106,2025-07-08,2025-07-13,First Class,HO-64381,Customer 64381,Home Office,Phoenix,Arizona,85001,West,OFF-AR-10000106,Office Supplies,Art,Sharpie Highlighter Set,238.7,2,0.0,100.81,2025,7,July,Q3,0.4223
CA-2025-100107,2025-11-27,2025-12-01,Standard Class,CO-15020,Customer 15020,Consumer,Minneapolis,Minnesota,55401,Central,OFF-AR-10000107,Office Supplies,Art,Sharpie Highlighter Set,54.93,1,0.0,8.37,2025,11,November,Q4,0.1524
